VotersAmount,Treshold00Probability,Treshold10Probability,Treshold20Probability,Treshold30Probability,Treshold40Probability,Treshold50Probability,Treshold60Probability,Treshold70Probability,Treshold80Probability,Treshold90Probability,Treshold100Probability,Treshold00AverageVotersAmount,Treshold10AverageVotersAmount,Treshold20AverageVotersAmount,Treshold30AverageVotersAmount,Treshold40AverageVotersAmount,Treshold50AverageVotersAmount,Treshold60AverageVotersAmount,Treshold70AverageVotersAmount,Treshold80AverageVotersAmount,Treshold90AverageVotersAmount,Treshold100AverageVotersAmount
680,0.70,0.70,0.88,0.92,0.94,0.95,0.95,0.96,0.95,0.94,0.95,680.00,680.00,544.90,476.00,408.00,340.00,272.00,204.00,136.16,118.21,118.36
690,0.70,0.70,0.88,0.92,0.94,0.95,0.96,0.96,0.95,0.95,0.95,690.00,690.00,552.81,483.00,414.00,345.00,276.00,207.00,138.15,120.05,120.00
700,0.70,0.70,0.88,0.92,0.94,0.95,0.96,0.96,0.95,0.95,0.95,700.00,700.00,560.79,490.00,420.00,350.00,280.00,210.00,140.16,121.83,121.75
710,0.70,0.70,0.88,0.92,0.94,0.95,0.96,0.96,0.95,0.95,0.95,710.00,710.00,568.81,497.00,426.00,355.00,284.00,213.00,142.15,123.54,123.49
720,0.70,0.70,0.89,0.92,0.94,0.95,0.96,0.96,0.95,0.95,0.95,720.00,720.00,576.67,504.00,432.00,360.00,288.00,216.00,144.13,125.21,125.25
730,0.70,0.71,0.89,0.92,0.94,0.95,0.96,0.96,0.96,0.95,0.95,730.00,730.00,584.70,511.00,438.00,365.00,292.00,219.00,146.14,127.00,127.00
740,0.71,0.71,0.89,0.92,0.94,0.96,0.96,0.96,0.96,0.95,0.95,740.00,740.00,592.68,518.00,444.00,370.00,296.00,222.00,148.13,128.79,128.77
750,0.71,0.71,0.89,0.93,0.94,0.96,0.96,0.97,0.96,0.95,0.95,750.00,750.00,600.67,525.00,450.00,375.00,300.00,225.00,150.14,130.54,130.38
760,0.71,0.71,0.89,0.93,0.95,0.96,0.96,0.96,0.96,0.95,0.95,760.00,760.00,608.64,532.00,456.00,380.00,304.00,228.00,152.14,132.18,132.16
770,0.71,0.71,0.89,0.93,0.95,0.96,0.97,0.97,0.96,0.95,0.96,770.00,770.00,616.63,539.00,462.00,385.00,308.00,231.00,154.13,133.89,133.98
780,0.71,0.71,0.89,0.93,0.95,0.96,0.97,0.97,0.96,0.96,0.96,780.00,780.00,624.56,546.00,468.00,390.00,312.00,234.00,156.12,135.69,135.72
790,0.71,0.71,0.89,0.93,0.95,0.96,0.97,0.97,0.96,0.96,0.96,790.00,790.00,632.56,553.00,474.00,395.00,316.00,237.00,158.13,137.43,137.45
800,0.71,0.71,0.89,0.93,0.95,0.96,0.97,0.97,0.96,0.96,0.96,800.00,800.00,640.52,560.00,480.00,400.00,320.00,240.00,160.11,139.15,139.23
810,0.71,0.72,0.90,0.93,0.95,0.96,0.97,0.97,0.96,0.96,0.96,810.00,810.00,648.54,567.00,486.00,405.00,324.00,243.00,162.12,140.94,140.84
820,0.72,0.72,0.90,0.93,0.95,0.96,0.97,0.97,0.96,0.96,0.96,820.00,820.00,656.53,574.00,492.00,410.00,328.00,246.00,164.11,142.64,142.66
830,0.72,0.72,0.90,0.93,0.95,0.96,0.97,0.97,0.96,0.96,0.96,830.00,830.00,664.49,581.00,498.00,415.00,332.00,249.00,166.11,144.42,144.28
840,0.72,0.72,0.90,0.94,0.96,0.96,0.97,0.97,0.97,0.96,0.96,840.00,840.00,672.45,588.00,504.00,420.00,336.00,252.00,168.11,146.20,146.09
850,0.72,0.72,0.90,0.94,0.95,0.97,0.97,0.97,0.97,0.96,0.96,850.00,850.00,680.43,595.00,510.00,425.00,340.00,255.00,170.10,147.77,147.80
860,0.72,0.72,0.91,0.94,0.96,0.97,0.97,0.97,0.97,0.96,0.96,860.00,860.00,688.49,602.00,516.00,430.00,344.00,258.00,172.10,149.57,149.64
870,0.72,0.72,0.91,0.94,0.96,0.97,0.97,0.97,0.97,0.96,0.97,870.00,870.00,696.38,609.00,522.00,435.00,348.00,261.00,174.10,151.41,151.28
880,0.72,0.72,0.91,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.97,880.00,880.00,704.45,616.00,528.00,440.00,352.00,264.00,176.09,152.99,153.02
890,0.72,0.72,0.91,0.94,0.96,0.97,0.97,0.98,0.97,0.97,0.97,890.00,890.00,712.43,623.00,534.00,445.00,356.00,267.00,178.10,154.95,154.81
900,0.72,0.73,0.91,0.94,0.96,0.97,0.97,0.98,0.97,0.97,0.97,900.00,900.00,720.38,630.00,540.00,450.00,360.00,270.00,180.09,156.45,156.57
910,0.73,0.73,0.91,0.94,0.96,0.97,0.98,0.98,0.97,0.97,0.97,910.00,910.00,728.42,637.00,546.00,455.00,364.00,273.00,182.09,158.31,158.36
920,0.73,0.73,0.91,0.94,0.96,0.97,0.98,0.98,0.97,0.97,0.97,920.00,920.00,736.36,644.00,552.00,460.00,368.00,276.00,184.09,160.06,159.98
930,0.73,0.73,0.91,0.95,0.96,0.97,0.98,0.98,0.97,0.97,0.97,930.00,930.00,744.32,651.00,558.00,465.00,372.00,279.00,186.08,161.80,161.68
940,0.73,0.73,0.92,0.94,0.96,0.97,0.98,0.98,0.97,0.97,0.97,940.00,940.00,752.35,658.00,564.00,470.00,376.00,282.00,188.08,163.49,163.38
950,0.73,0.73,0.91,0.95,0.96,0.98,0.98,0.98,0.97,0.97,0.97,950.00,950.00,760.35,665.00,570.00,475.00,380.00,285.00,190.08,165.23,165.26
960,0.73,0.73,0.92,0.95,0.97,0.97,0.98,0.98,0.97,0.97,0.97,960.00,960.00,768.34,672.00,576.00,480.00,384.00,288.00,192.08,166.92,166.86
970,0.74,0.73,0.92,0.95,0.97,0.97,0.98,0.98,0.97,0.97,0.97,970.00,970.00,776.31,679.00,582.00,485.00,388.00,291.00,194.08,168.84,168.71
980,0.73,0.73,0.92,0.95,0.97,0.97,0.98,0.98,0.97,0.97,0.97,980.00,980.00,784.29,686.00,588.00,490.00,392.00,294.00,196.08,170.54,170.39
990,0.73,0.74,0.92,0.95,0.97,0.98,0.98,0.98,0.98,0.97,0.97,990.00,990.00,792.33,693.00,594.00,495.00,396.00,297.00,198.07,172.30,172.17
1000,0.74,0.74,0.92,0.95,0.97,0.98,0.98,0.98,0.98,0.97,0.97,1000.00,1000.00,800.26,700.00,600.00,500.00,400.00,300.00,200.08,173.90,173.94
1010,0.74,0.74,0.92,0.95,0.97,0.97,0.98,0.98,0.98,0.97,0.97,1010.00,1010.00,808.27,707.00,606.00,505.00,404.00,303.00,202.08,175.73,175.70
1020,0.74,0.74,0.92,0.95,0.97,0.98,0.98,0.98,0.98,0.97,0.98,1020.00,1020.00,816.30,714.00,612.00,510.00,408.00,306.00,204.06,177.42,177.54
1030,0.74,0.74,0.92,0.95,0.97,0.98,0.98,0.98,0.98,0.98,0.97,1030.00,1030.00,824.24,721.00,618.00,515.00,412.00,309.00,206.07,179.27,179.15
1040,0.74,0.74,0.93,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,1040.00,1040.00,832.21,728.00,624.00,520.00,416.00,312.00,208.06,180.97,181.08
1050,0.74,0.74,0.92,0.95,0.97,0.98,0.98,0.98,0.98,0.98,0.98,1050.00,1050.00,840.19,735.00,630.00,525.00,420.00,315.00,210.07,182.71,182.66
1060,0.74,0.74,0.93,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,1060.00,1060.00,848.18,742.00,636.00,530.00,424.00,318.00,212.06,184.44,184.30
1070,0.74,0.74,0.93,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,1070.00,1070.00,856.21,749.00,642.00,535.00,428.00,321.00,214.05,186.16,186.05
1080,0.74,0.74,0.93,0.96,0.97,0.98,0.98,0.99,0.98,0.98,0.98,1080.00,1080.00,864.18,756.00,648.00,540.00,432.00,324.00,216.06,187.95,187.91
1090,0.75,0.75,0.93,0.96,0.97,0.98,0.99,0.99,0.98,0.98,0.98,1090.00,1090.00,872.17,763.00,654.00,545.00,436.00,327.00,218.06,189.66,189.66
1100,0.75,0.75,0.93,0.96,0.97,0.98,0.98,0.99,0.98,0.98,0.98,1100.00,1100.00,880.20,770.00,660.00,550.00,440.00,330.00,220.05,191.25,191.18
1110,0.75,0.75,0.93,0.96,0.97,0.98,0.99,0.99,0.98,0.98,0.98,1110.00,1110.00,888.19,777.00,666.00,555.00,444.00,333.00,222.06,193.04,193.00
1120,0.75,0.75,0.93,0.96,0.97,0.98,0.99,0.99,0.98,0.98,0.98,1120.00,1120.00,896.16,784.00,672.00,560.00,448.00,336.00,224.05,194.88,194.88
1130,0.75,0.75,0.93,0.96,0.98,0.98,0.99,0.99,0.98,0.98,0.98,1130.00,1130.00,904.16,791.00,678.00,565.00,452.00,339.00,226.06,196.62,196.50
1140,0.75,0.75,0.93,0.96,0.98,0.98,0.99,0.99,0.98,0.98,0.98,1140.00,1140.00,912.13,798.00,684.00,570.00,456.00,342.00,228.05,198.20,198.30
1150,0.75,0.75,0.94,0.96,0.97,0.98,0.99,0.99,0.98,0.98,0.98,1150.00,1150.00,920.13,805.00,690.00,575.00,460.00,345.00,230.05,200.03,199.85
