,"Crow ""IQ""",,,,,,,,,,,Average voters,,,,,,,,,,
Voters,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
1620,0.21,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.97,0.96,0.96,1620,1620,1296.95,1134,972,810,648,486,324,266.16,266.01
1630,0.21,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.97,0.96,0.96,1630,1630,1304.96,1141,978,815,652,489,326,267.79,267.75
1640,0.21,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.96,0.96,0.96,1640,1640,1312.91,1148,984,820,656,492,328,269.5,269.44
1650,0.21,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.97,0.97,0.96,1650,1650,1320.96,1155,990,825,660,495,330,270.96,271.09
1660,0.21,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.97,0.97,0.97,1660,1660,1328.87,1162,996,830,664,498,332,272.66,272.69
1670,0.21,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.97,0.97,0.96,1670,1670,1336.92,1169,1002,835,668,501,334,274.45,274.44
1680,0.2,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.97,0.96,0.97,1680,1680,1344.92,1176,1008,840,672,504,336,275.98,275.96
1690,0.21,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.97,0.97,0.97,1690,1690,1352.86,1183,1014,845,676,507,338,277.53,277.62
1700,0.2,0.21,0.64,0.78,0.87,0.92,0.95,0.96,0.97,0.97,0.97,1700,1700,1360.81,1190,1020,850,680,510,340,279.4,279.23
1710,0.2,0.2,0.64,0.78,0.87,0.92,0.95,0.97,0.97,0.97,0.97,1710,1710,1368.77,1197,1026,855,684,513,342,281.04,280.88
1720,0.2,0.2,0.64,0.79,0.87,0.92,0.95,0.96,0.97,0.97,0.97,1720,1720,1376.8,1204,1032,860,688,516,344,282.53,282.65
1730,0.2,0.2,0.65,0.78,0.87,0.93,0.95,0.97,0.97,0.97,0.97,1730,1730,1384.76,1211,1038,865,692,519,346,284.29,284.19
